"outcome_time","variant_variable","timeframe","model","prob_ci_Non-treated","prob_ci_Bamlanivimab","prob_ci_Casirivimab-imdevimab","prob_ci_Bamlanivimab-etesevimab","prob_ci_Sotrovimab"
"30d","pandemic_phase","Delta","Inpatient","0.7% (0.2% - 3.0%)","0.0% (0.0% - 0.0%)","4.5% (0.6% - 26.2%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Delta","Death","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Delta","Death or Inpatient","2.5% (0.9% - 6.7%)","12.2% (3.0% - 38.7%)","5.3% (0.7% - 29.6%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Delta/Omicron","ED","8.1% (4.2% - 14.9%)","52.3% (6.3% - 94.7%)","13.0% (1.8% - 55.4%)",NA,"0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Delta/Omicron","Inpatient","2.4% (0.8% - 7.3%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)",NA,"0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Delta/Omicron","Death","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)",NA,"0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Delta/Omicron","Death or Inpatient","10.3% (5.9% - 17.4%)","0.0% (0.0% - 0.0%)","26.4% (6.6% - 64.3%)",NA,"42.8% (4.4% - 92.5%)"
"30d","pandemic_phase","Omicron","ED","5.2% (3.0% - 9.1%)","15.3% (3.8% - 45.4%)","11.7% (3.7% - 31.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Omicron","Inpatient","3.4% (1.7% - 6.7%)","7.5% (1.0% - 38.8%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Omicron","Death","0.4% (0.1% - 2.7%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)"
"30d","pandemic_phase","Omicron","Death or Inpatient","5.0% (2.6% - 9.4%)","8.1% (1.1% - 40.7%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)","0.0% (0.0% - 0.0%)"
